district,ap_count,ch7_count,ch13_count,ch11_count,ap_per_100_cases
flsbk,2648,20918,19270,1083,6.42
mowbk,734,20441,20900,172,1.77
ohnbk,672,3250,273,19,18.97
ksbk,522,18673,22176,238,1.27
flmbk,152,3251,2136,158,2.74
ilnbk,91,6696,3084,290,0.9
vaebk,74,512,546,204,5.86
wiebk,66,903,549,2,4.54
mabk,65,1290,66,19,4.73
mdbk,59,420,139,283,7.01
cacbk,55,5129,744,10,0.93
arwbk,43,228,305,51,7.36
kyebk,41,289,790,78,3.54
tnwbk,41,568,1250,121,2.11
ohsbk,35,285,163,130,6.06
arebk,26,234,192,49,5.47
njbk,14,526,1054,53,0.86
canbk,13,5,4,1,130.0
nysbk,12,74,13,29,10.34
ctbk,12,74,19,21,10.53
miebk,12,611,483,208,0.92
debk,11,4,1,21,42.31
nvbk,11,164,78,74,3.48
moebk,11,1691,2739,32,0.25
nyebk,11,1014,61,1,1.02
mnbk,10,379,16,0,2.53
txsbk,10,11510,18641,250,0.03
paebk,6,410,1098,158,0.36
caebk,6,625,147,3,0.77
insbk,6,489,1415,183,0.29
ganbk,5,938,197,566,0.29
txnbk,4,320,291,567,0.34
kywbk,3,29,584,2,0.49
alnbk,3,308,415,116,0.36
ncmbk,2,86,334,19,0.46
okwbk,2,102,2,0,1.92
ncebk,2,187,220,255,0.3
gambk,1,31,74,1,0.94
innbk,1,303,1118,64,0.07
flnbk,1,220,213,8,0.23
almbk,1,170,850,18,0.1
