disposition,count
Dismissed or Settled Without Entry of Judgment,3217
Judgment Entered by Default,917
Judgment Entered on Consent,414
Judgment Entered after Bench Trial by Bankruptcy Judge,173
Transfer to Another District,84
Dismissed for Want of Prosecution,78
Judgment Entered on Motion for Summary Judgment,78
Other,67
Judgment Entered (Other),63
Transferred to District Court for Jury Trial,46
Transferred to Another Divisional Office in the Same Distric,37
Withdrawal of Reference by District Court,14
Abstention,8
Remanded to State Court,8
Judgment Entered on Directed Verdict after Jury Trial,2
