district,chapter,discharged,dismissed,terminated_other,converted,pending_or_unknown,total,discharge_rate_pct,dismissal_rate_pct
almbk,13,4,3,435,0,408,850,0.47,0.35
almbk,7,7,1,117,0,45,170,4.12,0.59
alnbk,11,0,0,60,0,56,116,0.0,0.0
alnbk,13,3,2,290,0,120,415,0.72,0.48
alnbk,7,5,0,241,0,62,308,1.62,0.0
arebk,11,0,0,20,0,29,49,0.0,0.0
arebk,13,12,19,96,0,65,192,6.25,9.9
arebk,7,70,6,116,0,42,234,29.91,2.56
arebk,AP,0,4,21,0,1,26,0.0,15.38
arwbk,11,0,1,18,0,32,51,0.0,1.96
arwbk,13,110,54,55,0,86,305,36.07,17.7
arwbk,7,138,0,60,0,30,228,60.53,0.0
arwbk,AP,0,4,31,0,8,43,0.0,9.3
azbk,7,31,0,1,0,0,32,96.88,0.0
cacbk,13,261,446,25,0,12,744,35.08,59.95
cacbk,7,4988,77,62,0,2,5129,97.25,1.5
cacbk,AP,0,5,50,0,0,55,0.0,9.09
caebk,13,70,75,2,0,0,147,47.62,51.02
caebk,7,593,11,21,0,0,625,94.88,1.76
casbk,13,9,8,3,0,0,20,45.0,40.0
casbk,7,47,1,1,0,0,49,95.92,2.04
cobk,7,81,1,2,0,0,84,96.43,1.19
ctbk,11,0,9,12,0,0,21,0.0,42.86
ctbk,7,60,1,13,0,0,74,81.08,1.35
debk,11,0,2,12,0,7,21,0.0,9.52
flmbk,11,20,59,60,0,19,158,12.66,37.34
flmbk,13,606,1088,17,0,425,2136,28.37,50.94
flmbk,7,2846,39,102,0,264,3251,87.54,1.2
flmbk,AP,0,50,95,0,7,152,0.0,32.89
flnbk,13,58,128,5,0,22,213,27.23,60.09
flnbk,7,209,2,7,0,2,220,95.0,0.91
flsbk,11,192,481,346,0,64,1083,17.73,44.41
flsbk,13,9445,8229,155,0,1441,19270,49.01,42.7
flsbk,7,18531,1120,1115,0,152,20918,88.59,5.35
flsbk,AP,0,1416,1215,0,17,2648,0.0,53.47
gambk,13,60,12,0,0,2,74,81.08,16.22
gambk,7,30,1,0,0,0,31,96.77,3.23
ganbk,11,0,2,289,0,275,566,0.0,0.35
ganbk,13,33,32,109,0,23,197,16.75,16.24
ganbk,7,318,2,405,0,213,938,33.9,0.21
ilcbk,13,30,10,2,0,10,52,57.69,19.23
ilnbk,11,0,30,178,0,82,290,0.0,10.34
ilnbk,13,917,1330,433,0,404,3084,29.73,43.13
ilnbk,7,3259,50,3302,0,85,6696,48.67,0.75
ilnbk,AP,0,26,64,0,1,91,0.0,28.57
ilsbk,13,19,5,0,0,9,33,57.58,15.15
innbk,11,0,0,35,0,29,64,0.0,0.0
innbk,13,284,156,148,0,530,1118,25.4,13.95
innbk,7,97,0,139,0,67,303,32.01,0.0
insbk,11,0,1,103,0,79,183,0.0,0.55
