year,chapter,discharged,dismissed,terminated_other,converted,pending_or_unknown,total,discharge_rate_pct
1986,7,7,0,12,0,0,19,36.84
1987,7,5,0,9,0,0,14,35.71
1987,AP,0,5,0,0,0,5,0.0
1988,13,4,0,3,0,0,7,57.14
1988,7,18,0,17,0,0,35,51.43
1989,11,1,0,5,0,0,6,16.67
1989,13,3,1,5,0,0,9,33.33
1989,7,49,2,19,0,0,70,70.0
1989,AP,0,1,12,0,0,13,0.0
1990,11,0,7,13,0,0,20,0.0
1990,13,18,11,11,0,0,40,45.0
1990,7,107,3,49,0,0,159,67.3
1990,AP,0,1,25,0,0,26,0.0
1991,11,6,5,24,0,0,35,17.14
1991,13,38,14,12,0,0,64,59.38
1991,7,188,3,42,0,0,233,80.69
1991,AP,0,4,59,0,0,63,0.0
1992,11,9,11,23,0,0,43,20.93
1992,13,29,27,8,0,0,64,45.31
1992,7,193,3,35,0,0,231,83.55
1992,AP,1,7,42,0,0,50,2.0
1993,11,8,4,17,0,0,29,27.59
1993,12,0,1,4,0,0,5,0.0
1993,13,31,69,17,0,0,117,26.5
1993,7,173,3,19,0,0,195,88.72
1993,AP,0,0,64,0,0,64,0.0
1994,11,4,7,9,0,0,20,20.0
1994,13,53,80,15,0,0,148,35.81
1994,7,228,7,44,0,0,279,81.72
1994,AP,0,5,68,0,0,73,0.0
1995,11,1,4,16,0,0,21,4.76
1995,13,99,90,50,0,0,239,41.42
1995,7,342,8,37,0,0,387,88.37
1995,AP,0,8,70,0,0,78,0.0
1996,11,2,4,10,0,0,16,12.5
1996,13,117,168,60,0,0,345,33.91
1996,7,471,10,107,0,0,588,80.1
1996,AP,0,3,86,0,0,89,0.0
1997,11,0,3,12,0,0,15,0.0
1997,13,241,226,339,0,0,806,29.9
1997,7,1062,5,527,0,0,1594,66.62
1997,AP,0,5,89,0,0,94,0.0
1998,11,3,2,13,0,0,18,16.67
1998,13,264,360,274,0,0,898,29.4
1998,7,1933,29,701,0,0,2663,72.59
1998,AP,0,3,111,0,0,114,0.0
1999,11,1,7,13,0,0,21,4.76
1999,13,271,467,186,0,0,924,29.33
1999,7,2165,27,76,0,0,2268,95.46
1999,AP,0,4,112,0,0,116,0.0
2000,11,1,5,17,0,0,23,4.35
2000,13,598,715,365,0,0,1678,35.64
2000,7,2002,28,82,0,0,2112,94.79
2000,AP,0,3,106,0,0,109,0.0
2001,11,4,11,32,0,0,47,8.51
2001,13,1558,1540,589,0,0,3687,42.26
2001,7,3650,69,130,0,1,3850,94.81
2001,AP,0,5,107,0,0,112,0.0
2002,11,2,4,27,0,0,33,6.06
2002,13,1887,2110,374,0,0,4371,43.17
2002,7,4152,72,126,0,0,4350,95.45
2002,AP,0,10,196,0,0,206,0.0
2003,11,2,13,27,0,1,43,4.65
2003,13,2375,3183,502,0,0,6060,39.19
2003,7,6135,115,156,0,1,6407,95.75
2003,AP,0,31,163,0,0,194,0.0
2004,11,3,7,26,0,0,36,8.33
2004,13,1876,2593,276,0,0,4745,39.54
2004,7,4206,71,121,0,0,4398,95.63
2004,AP,0,18,161,0,0,179,0.0
2005,11,5,9,20,0,0,34,14.71
2005,13,1997,2038,103,0,0,4138,48.26
2005,7,6378,65,167,0,0,6610,96.49
2005,AP,0,74,134,0,0,208,0.0
2006,11,2,12,8,0,0,22,9.09
2006,13,1204,1487,111,0,0,2802,42.97
2006,7,2015,51,137,0,0,2203,91.47
2006,AP,0,166,228,0,0,394,0.0
2007,11,3,21,24,0,0,48,6.25
2007,13,1484,1732,132,0,0,3348,44.32
2007,7,3103,83,249,0,0,3435,90.33
2007,AP,0,42,114,0,0,156,0.0
2008,11,6,23,50,0,1,80,7.5
2008,13,1638,1324,107,0,0,3069,53.37
2008,7,3223,85,361,0,2,3671,87.8
2008,AP,0,61,134,0,0,195,0.0
2009,11,11,39,99,0,5,154,7.14
2009,13,1947,999,94,0,0,3040,64.05
2009,7,3429,72,476,0,4,3981,86.13
2009,AP,0,122,146,0,0,268,0.0
2010,11,24,71,113,0,3,211,11.37
2010,13,2150,1088,133,0,0,3371,63.78
2010,7,4054,75,503,0,3,4635,87.46
2010,AP,0,160,218,0,0,378,0.0
2011,11,26,59,142,0,0,227,11.45
2011,13,2131,1023,164,0,0,3318,64.23
2011,7,3504,71,444,0,4,4023,87.1
2011,AP,0,106,202,0,0,308,0.0
2012,11,17,51,79,0,1,148,11.49
2012,13,1702,946,169,0,0,2817,60.42
2012,7,2782,78,331,0,2,3193,87.13
2012,AP,0,143,233,0,0,376,0.0
2013,11,25,46,103,0,5,179,13.97
2013,13,1603,1033,202,0,1,2839,56.46
2013,7,3074,116,391,0,1,3582,85.82
2013,AP,0,176,154,0,0,330,0.0
2014,11,17,40,98,0,2,157,10.83
2014,12,1,1,4,0,0,6,16.67
2014,13,1757,1228,297,0,1,3283,53.52
2014,7,3231,126,388,0,7,3752,86.11
2014,AP,1,98,138,0,0,237,0.42
2015,11,15,33,106,0,9,163,9.2
2015,13,1659,1275,381,0,3,3318,50.0
2015,7,2843,124,415,0,11,3393,83.79
2015,AP,0,151,125,0,0,276,0.0
2016,11,14,42,131,0,18,205,6.83
2016,13,1756,1318,528,0,29,3631,48.36
2016,7,2718,78,438,0,12,3246,83.73
2016,AP,0,62,66,0,0,128,0.0
2017,11,4,49,114,0,8,175,2.29
2017,12,1,1,2,0,1,5,20.0
2017,13,1981,1377,443,0,141,3942,50.25
2017,7,2883,81,424,0,16,3404,84.69
2017,AP,0,63,52,0,0,115,0.0
2018,11,8,59,157,0,17,241,3.32
2018,12,1,1,2,0,3,7,14.29
2018,13,2307,1449,415,0,260,4431,52.06
2018,7,2863,70,482,0,33,3448,83.03
2018,AP,0,42,64,0,1,107,0.0
2019,11,2,46,145,0,42,235,0.85
2019,13,2610,1557,662,0,709,5538,47.13
2019,7,2891,65,795,0,69,3820,75.68
2019,AP,0,41,32,0,2,75,0.0
2020,11,6,32,130,0,32,200,3.0
2020,12,1,3,0,0,2,6,16.67
2020,13,1643,807,334,0,288,3072,53.48
2020,7,2065,65,402,0,29,2561,80.63
2020,AP,0,62,38,0,4,104,0.0
2021,11,10,44,122,0,43,219,4.57
2021,13,650,780,222,0,875,2527,25.72
2021,7,1677,55,264,0,33,2029,82.65
2021,AP,0,45,31,0,3,79,0.0
2022,11,8,26,104,0,52,190,4.21
2022,13,390,859,203,0,1442,2894,13.48
2022,7,1265,43,212,0,67,1587,79.71
2022,AP,0,42,22,0,3,67,0.0
2023,11,4,27,175,0,108,314,1.27
2023,12,0,4,1,0,2,7,0.0
2023,13,94,1010,176,0,2402,3682,2.55
2023,7,1456,24,300,0,171,1951,74.63
2023,AP,0,39,29,0,0,68,0.0
2024,11,6,40,253,0,426,725,0.83
2024,12,0,1,3,0,3,7,0.0
2024,13,31,924,125,0,3121,4201,0.74
2024,7,2505,17,407,0,351,3280,76.37
2024,AP,0,27,30,0,18,75,0.0
2025,11,3,20,37,0,1059,1119,0.27
2025,12,0,0,0,0,9,9,0.0
2025,13,4,502,27,0,3492,4025,0.1
2025,7,2642,31,69,0,1105,3847,68.68
2025,AP,0,14,2,0,17,33,0.0
2026,11,0,1,1,0,156,158,0.0
2026,13,0,13,1,0,607,621,0.0
2026,7,0,0,0,0,594,594,0.0
2026,AP,0,0,0,0,10,10,0.0
