year,ch_11,ch_12,ch_13,ch_15,ch_304,ch_7,ch_9,ch_AP,total
1935,1,0,0,0,0,0,0,0,1
1979,0,0,0,0,0,2,0,0,2
1980,0,0,0,0,0,1,0,0,1
1981,0,0,0,0,0,1,0,0,1
1983,0,0,0,0,0,0,0,1,1
1984,1,0,1,0,0,0,0,0,2
1985,2,0,3,0,0,4,0,0,9
1986,0,1,1,0,0,19,0,0,21
1987,1,0,0,0,0,14,0,5,20
1988,2,0,7,0,0,35,0,4,48
1989,6,1,9,0,0,70,0,13,99
1990,20,1,40,0,0,159,0,26,246
1991,35,1,64,0,0,233,0,63,396
1992,43,4,64,0,0,231,0,50,392
1993,29,5,117,0,0,195,0,64,410
1994,20,0,148,0,0,279,0,73,520
1995,21,3,239,0,0,387,0,78,728
1996,16,2,345,0,0,588,0,89,1040
1997,15,1,806,0,0,1594,0,94,2510
1998,18,0,898,0,2,2663,0,114,3695
1999,21,2,924,0,0,2268,0,116,3331
2000,23,0,1678,0,0,2112,0,109,3922
2001,47,0,3687,0,0,3850,0,112,7696
2002,33,1,4371,0,0,4350,0,206,8961
2003,43,0,6060,0,0,6407,0,194,12704
2004,36,0,4745,0,1,4398,0,179,9359
2005,34,0,4138,0,0,6610,0,208,10990
2006,22,2,2802,0,0,2203,0,394,5423
2007,48,2,3348,0,0,3435,0,156,6989
2008,80,1,3069,0,0,3671,0,195,7016
2009,154,2,3040,0,0,3981,0,268,7445
2010,211,1,3371,0,0,4635,0,378,8596
2011,227,2,3318,0,0,4023,0,308,7878
2012,148,0,2817,0,0,3193,0,376,6534
2013,179,2,2839,0,0,3582,1,330,6933
2014,157,6,3283,0,0,3752,1,237,7436
2015,163,3,3318,0,0,3393,0,276,7153
2016,205,3,3631,1,0,3246,0,128,7214
2017,175,5,3942,2,0,3404,0,115,7643
2018,241,7,4431,1,0,3448,0,107,8235
2019,235,2,5538,1,0,3820,0,75,9671
2020,200,6,3072,1,0,2561,0,104,5944
2021,219,3,2527,2,0,2029,0,79,4859
2022,190,3,2894,2,0,1587,1,67,4744
2023,314,7,3682,4,0,1951,0,68,6026
2024,725,7,4201,0,0,3280,0,75,8288
2025,1119,9,4025,1,0,3847,0,33,9034
2026,158,0,621,0,0,594,0,10,1383
