district,chapter,joint_count,individual_count,total,joint_pct
almbk,13,2,848,850,0.24
almbk,7,2,168,170,1.18
alnbk,11,0,116,116,0.0
alnbk,13,7,408,415,1.69
alnbk,7,3,305,308,0.97
arebk,11,0,49,49,0.0
arebk,13,4,188,192,2.08
arebk,7,20,214,234,8.55
arwbk,11,0,51,51,0.0
arwbk,13,83,222,305,27.21
arwbk,7,73,155,228,32.02
arwbk,AP,1,42,43,2.33
azbk,7,11,21,32,34.38
cacbk,13,180,564,744,24.19
cacbk,7,1115,4014,5129,21.74
cacbk,AP,1,54,55,1.82
caebk,13,84,63,147,57.14
caebk,7,240,385,625,38.4
casbk,7,15,34,49,30.61
cobk,7,27,57,84,32.14
ctbk,7,32,42,74,43.24
flmbk,11,19,139,158,12.03
flmbk,13,714,1422,2136,33.43
flmbk,7,791,2460,3251,24.33
flmbk,AP,6,146,152,3.95
flnbk,13,68,145,213,31.92
flnbk,7,84,136,220,38.18
flsbk,11,103,980,1083,9.51
flsbk,13,5073,14197,19270,26.33
flsbk,7,3882,17036,20918,18.56
flsbk,AP,45,2603,2648,1.7
gambk,13,21,53,74,28.38
gambk,7,7,24,31,22.58
ganbk,11,0,566,566,0.0
ganbk,13,16,181,197,8.12
ganbk,7,106,832,938,11.3
ilcbk,13,22,30,52,42.31
ilnbk,11,3,287,290,1.03
ilnbk,13,639,2445,3084,20.72
ilnbk,7,776,5920,6696,11.59
ilnbk,AP,0,91,91,0.0
ilsbk,13,10,23,33,30.3
innbk,11,0,64,64,0.0
innbk,13,348,770,1118,31.13
innbk,7,39,264,303,12.87
insbk,11,0,183,183,0.0
insbk,13,447,968,1415,31.59
insbk,7,109,380,489,22.29
ksbk,11,4,177,181,2.21
ksbk,13,5386,14808,20194,26.67
ksbk,7,3859,13995,17854,21.61
ksbk,AP,21,501,522,4.02
kyebk,11,0,78,78,0.0
kyebk,13,274,516,790,34.68
kyebk,7,41,248,289,14.19
kyebk,AP,1,40,41,2.44
kywbk,13,217,367,584,37.16
mabk,13,15,51,66,22.73
mabk,7,350,940,1290,27.13
mabk,AP,0,65,65,0.0
mdbk,11,1,282,283,0.35
mdbk,13,0,139,139,0.0
mdbk,7,11,409,420,2.62
mdbk,AP,0,59,59,0.0
miebk,11,0,208,208,0.0
miebk,13,27,456,483,5.59
miebk,7,7,604,611,1.15
mnbk,7,86,293,379,22.69
moebk,13,195,529,724,26.93
moebk,7,249,364,613,40.62
mowbk,11,10,143,153,6.54
mowbk,13,4933,14874,19807,24.91
mowbk,7,4658,15550,20208,23.05
mowbk,AP,23,711,734,3.13
ncebk,11,0,255,255,0.0
ncebk,13,0,220,220,0.0
ncebk,7,0,187,187,0.0
ncmbk,13,2,332,334,0.6
ncmbk,7,0,86,86,0.0
nebk,7,30,27,57,52.63
njbk,11,6,47,53,11.32
njbk,13,194,860,1054,18.41
njbk,7,54,472,526,10.27
nvbk,11,29,45,74,39.19
nvbk,13,22,56,78,28.21
nvbk,7,49,115,164,29.88
nyebk,13,20,41,61,32.79
nyebk,7,231,783,1014,22.78
nysbk,7,9,65,74,12.16
nywbk,7,13,44,57,22.81
ohnbk,13,93,180,273,34.07
ohnbk,7,791,2459,3250,24.34
ohnbk,AP,27,645,672,4.02
ohsbk,11,0,130,130,0.0
ohsbk,13,3,160,163,1.84
ohsbk,7,16,269,285,5.61
ohsbk,AP,0,35,35,0.0
okwbk,7,46,56,102,45.1
paebk,11,0,158,158,0.0
paebk,13,0,1098,1098,0.0
paebk,7,0,410,410,0.0
scbk,11,0,137,137,0.0
scbk,13,0,334,334,0.0
scbk,7,0,301,301,0.0
tnwbk,11,0,121,121,0.0
tnwbk,13,65,1185,1250,5.2
tnwbk,7,57,511,568,10.04
tnwbk,AP,1,40,41,2.44
txnbk,11,0,567,567,0.0
txnbk,13,1,290,291,0.34
txnbk,7,3,317,320,0.94
txsbk,11,0,250,250,0.0
txsbk,13,4,18637,18641,0.02
txsbk,7,2,11508,11510,0.02
vaebk,11,1,203,204,0.49
vaebk,13,23,523,546,4.21
vaebk,7,1,511,512,0.2
vaebk,AP,1,73,74,1.35
wawbk,7,12,19,31,38.71
wiebk,13,225,324,549,40.98
wiebk,7,261,642,903,28.9
wiebk,AP,4,62,66,6.06
wiwbk,13,20,19,39,51.28
wiwbk,7,24,26,50,48.0
wvnbk,7,25,28,53,47.17
