district,pending_5plus_years,total_cases,rate_per_1000
almbk,147,1067,137.77
alnbk,96,967,99.28
scbk,79,841,93.94
kyebk,110,1227,89.65
paebk,159,1778,89.43
vaebk,122,1432,85.2
ncebk,62,732,84.7
miebk,117,1408,83.1
innbk,118,1508,78.25
arebk,40,514,77.82
arwbk,45,632,71.2
ohsbk,35,613,57.1
mdbk,53,969,54.7
insbk,110,2119,51.91
tnwbk,87,2014,43.2
txnbk,51,1249,40.83
kywbk,18,619,29.08
njbk,32,1647,19.43
ganbk,27,1786,15.12
ilnbk,90,10280,8.75
flsbk,124,43932,2.82
txsbk,74,30412,2.43
ksbk,100,41718,2.4
flmbk,12,5699,2.11
mowbk,86,42275,2.03
nyebk,1,1087,0.92
wiebk,1,1520,0.66
moebk,2,4526,0.44
cacbk,2,5938,0.34
ohnbk,1,4214,0.24
