disposition,district,count
Hardship Discharge,ksbk,89
Hardship Discharge,mowbk,52
Hardship Discharge,txsbk,11
Hardship Discharge,flsbk,6
Hardship Discharge,kywbk,4
Hardship Discharge,wiebk,2
Hardship Discharge,insbk,2
Discharge Revoked,ksbk,79
Discharge Revoked,mowbk,26
Discharge Revoked,flsbk,23
Discharge Revoked,flmbk,10
Discharge Revoked,ohnbk,5
Discharge Revoked,txsbk,4
Discharge Revoked,moebk,3
Discharge Revoked,mabk,2
Discharge Revoked,flnbk,2
Discharge Denied,flsbk,136
Discharge Denied,mowbk,77
Discharge Denied,ksbk,28
Discharge Denied,ohnbk,16
Discharge Denied,txsbk,15
Discharge Denied,flmbk,15
Discharge Denied,ilnbk,12
Discharge Denied,mabk,9
Discharge Denied,insbk,7
Discharge Denied,kyebk,6
Discharge Denied,vaebk,2
Discharge Denied,ganbk,2
Dismissed for Abuse,flsbk,205
Dismissed for Abuse,txsbk,21
Dismissed for Abuse,mowbk,16
Dismissed for Abuse,ksbk,7
Dismissed for Abuse,flmbk,7
Dismissed for Abuse,mabk,3
Discharge Waived,ohnbk,36
Discharge Waived,flsbk,34
Discharge Waived,txsbk,12
Discharge Waived,mowbk,12
Discharge Waived,ilnbk,6
Discharge Waived,flmbk,4
Discharge Waived,ksbk,3
Discharge Waived,moebk,2
Dismissed for Want of Prosecution,flsbk,16
Dismissed for Want of Prosecution,ksbk,8
Dismissed for Want of Prosecution,mowbk,8
Dismissed for Want of Prosecution,ohnbk,8
Dismissed for Want of Prosecution,vaebk,7
Dismissed for Want of Prosecution,ctbk,6
Dismissed for Want of Prosecution,ilnbk,5
Dismissed for Want of Prosecution,flmbk,5
Dismissed for Want of Prosecution,nvbk,3
Dismissed for Want of Prosecution,wiebk,2
Dismissed for Want of Prosecution,cacbk,2
Dismissed for Want of Prosecution,casbk,2
Dismissed for Want of Prosecution,tnwbk,2
