category,year,count
no_info_dismiss,2002,6
no_info_dismiss,2003,10
no_info_dismiss,2004,15
no_info_dismiss,2005,27
no_info_dismiss,2006,102
no_info_dismiss,2007,182
no_info_dismiss,2008,122
no_info_dismiss,2009,96
no_info_dismiss,2010,106
no_info_dismiss,2011,107
no_info_dismiss,2012,93
no_info_dismiss,2013,142
no_info_dismiss,2014,159
no_info_dismiss,2015,135
no_info_dismiss,2016,151
no_info_dismiss,2017,134
no_info_dismiss,2018,164
no_info_dismiss,2019,152
no_info_dismiss,2020,82
no_info_dismiss,2021,63
no_info_dismiss,2022,74
no_info_dismiss,2023,87
no_info_dismiss,2024,83
no_info_dismiss,2025,107
no_info_dismiss,2026,11
ch13_plan_failure_dismiss,2002,1
ch13_plan_failure_dismiss,2003,12
ch13_plan_failure_dismiss,2004,50
ch13_plan_failure_dismiss,2005,181
ch13_plan_failure_dismiss,2006,236
ch13_plan_failure_dismiss,2007,513
ch13_plan_failure_dismiss,2008,604
ch13_plan_failure_dismiss,2009,547
ch13_plan_failure_dismiss,2010,566
ch13_plan_failure_dismiss,2011,552
ch13_plan_failure_dismiss,2012,542
ch13_plan_failure_dismiss,2013,530
ch13_plan_failure_dismiss,2014,625
ch13_plan_failure_dismiss,2015,561
ch13_plan_failure_dismiss,2016,571
ch13_plan_failure_dismiss,2017,681
ch13_plan_failure_dismiss,2018,726
ch13_plan_failure_dismiss,2019,823
ch13_plan_failure_dismiss,2020,459
ch13_plan_failure_dismiss,2021,439
ch13_plan_failure_dismiss,2022,473
ch13_plan_failure_dismiss,2023,519
ch13_plan_failure_dismiss,2024,448
ch13_plan_failure_dismiss,2025,122
filing_fee_failure_dismiss,1999,1
filing_fee_failure_dismiss,2001,13
filing_fee_failure_dismiss,2002,57
filing_fee_failure_dismiss,2003,192
filing_fee_failure_dismiss,2004,393
filing_fee_failure_dismiss,2005,737
filing_fee_failure_dismiss,2006,694
filing_fee_failure_dismiss,2007,472
filing_fee_failure_dismiss,2008,123
filing_fee_failure_dismiss,2009,4
filing_fee_failure_dismiss,2010,4
filing_fee_failure_dismiss,2012,2
filing_fee_failure_dismiss,2013,2
filing_fee_failure_dismiss,2014,9
filing_fee_failure_dismiss,2015,6
filing_fee_failure_dismiss,2016,8
filing_fee_failure_dismiss,2017,5
filing_fee_failure_dismiss,2018,6
filing_fee_failure_dismiss,2019,6
filing_fee_failure_dismiss,2020,4
filing_fee_failure_dismiss,2021,2
filing_fee_failure_dismiss,2022,3
filing_fee_failure_dismiss,2023,4
filing_fee_failure_dismiss,2024,2
course_failure_no_discharge,2004,1
course_failure_no_discharge,2005,5
course_failure_no_discharge,2006,17
course_failure_no_discharge,2007,21
course_failure_no_discharge,2008,10
course_failure_no_discharge,2009,16
course_failure_no_discharge,2010,15
course_failure_no_discharge,2011,16
course_failure_no_discharge,2012,16
course_failure_no_discharge,2013,32
course_failure_no_discharge,2014,16
course_failure_no_discharge,2015,19
course_failure_no_discharge,2016,8
course_failure_no_discharge,2017,15
course_failure_no_discharge,2018,13
course_failure_no_discharge,2019,16
course_failure_no_discharge,2020,7
course_failure_no_discharge,2021,10
course_failure_no_discharge,2022,5
course_failure_no_discharge,2023,2
course_failure_no_discharge,2024,2
727a_discharge_denied,1986,1
727a_discharge_denied,1991,1
727a_discharge_denied,1992,1
727a_discharge_denied,1993,1
727a_discharge_denied,1994,3
727a_discharge_denied,1995,3
727a_discharge_denied,1996,3
727a_discharge_denied,1998,3
727a_discharge_denied,1999,5
727a_discharge_denied,2000,6
727a_discharge_denied,2001,9
727a_discharge_denied,2002,7
727a_discharge_denied,2003,14
727a_discharge_denied,2004,14
727a_discharge_denied,2005,13
727a_discharge_denied,2006,20
727a_discharge_denied,2007,27
727a_discharge_denied,2008,14
727a_discharge_denied,2009,12
727a_discharge_denied,2010,16
727a_discharge_denied,2011,21
727a_discharge_denied,2012,16
727a_discharge_denied,2013,16
727a_discharge_denied,2014,12
727a_discharge_denied,2015,14
727a_discharge_denied,2016,12
727a_discharge_denied,2017,8
727a_discharge_denied,2018,15
727a_discharge_denied,2019,14
727a_discharge_denied,2020,6
727a_discharge_denied,2021,8
727a_discharge_denied,2022,8
727a_discharge_denied,2023,7
727a_discharge_denied,2024,3
727a_discharge_denied,2025,1
707b_abuse_dismiss,2004,1
707b_abuse_dismiss,2005,1
707b_abuse_dismiss,2006,7
707b_abuse_dismiss,2007,7
707b_abuse_dismiss,2008,10
707b_abuse_dismiss,2009,8
707b_abuse_dismiss,2010,10
707b_abuse_dismiss,2011,5
707b_abuse_dismiss,2012,10
707b_abuse_dismiss,2013,13
707b_abuse_dismiss,2014,32
707b_abuse_dismiss,2015,41
707b_abuse_dismiss,2016,23
707b_abuse_dismiss,2017,13
707b_abuse_dismiss,2018,11
707b_abuse_dismiss,2019,12
707b_abuse_dismiss,2020,20
707b_abuse_dismiss,2021,18
707b_abuse_dismiss,2022,16
707b_abuse_dismiss,2023,5
707b_abuse_dismiss,2025,2
727d_discharge_revoked,2002,2
727d_discharge_revoked,2003,9
727d_discharge_revoked,2004,14
727d_discharge_revoked,2005,43
727d_discharge_revoked,2006,7
727d_discharge_revoked,2007,8
727d_discharge_revoked,2008,8
727d_discharge_revoked,2009,4
727d_discharge_revoked,2010,13
727d_discharge_revoked,2011,6
727d_discharge_revoked,2012,5
727d_discharge_revoked,2013,4
727d_discharge_revoked,2014,7
727d_discharge_revoked,2015,6
727d_discharge_revoked,2016,1
727d_discharge_revoked,2017,5
727d_discharge_revoked,2018,4
727d_discharge_revoked,2020,2
727d_discharge_revoked,2021,2
727d_discharge_revoked,2022,1
727d_discharge_revoked,2023,1
727d_discharge_revoked,2024,3
discharge_waived,1989,1
discharge_waived,1991,1
discharge_waived,1992,1
discharge_waived,1993,1
discharge_waived,1995,1
discharge_waived,1996,3
discharge_waived,1997,1
discharge_waived,1998,2
discharge_waived,1999,4
discharge_waived,2001,8
discharge_waived,2002,18
discharge_waived,2003,21
discharge_waived,2004,7
discharge_waived,2008,3
discharge_waived,2009,3
discharge_waived,2010,6
discharge_waived,2011,2
discharge_waived,2012,1
discharge_waived,2013,2
discharge_waived,2014,6
discharge_waived,2015,3
discharge_waived,2016,1
discharge_waived,2017,4
discharge_waived,2018,2
discharge_waived,2019,2
discharge_waived,2020,3
discharge_waived,2022,3
discharge_waived,2023,1
discharge_waived,2024,3
discharge_waived,2025,1
judgment_consent,1989,1
judgment_consent,1990,1
judgment_consent,1991,6
judgment_consent,1992,3
judgment_consent,1993,6
judgment_consent,1994,4
judgment_consent,1995,8
judgment_consent,1996,6
judgment_consent,1997,7
judgment_consent,1998,17
judgment_consent,1999,16
judgment_consent,2000,5
judgment_consent,2001,6
judgment_consent,2002,13
judgment_consent,2003,8
judgment_consent,2004,7
judgment_consent,2005,12
judgment_consent,2006,27
judgment_consent,2007,17
judgment_consent,2008,15
judgment_consent,2009,13
judgment_consent,2010,31
judgment_consent,2011,38
judgment_consent,2012,29
judgment_consent,2013,27
judgment_consent,2014,16
judgment_consent,2015,19
judgment_consent,2016,15
judgment_consent,2017,7
judgment_consent,2018,12
judgment_consent,2019,3
judgment_consent,2020,3
judgment_consent,2021,5
judgment_consent,2022,1
judgment_consent,2023,5
judgment_consent,2024,5
judgment_default,1990,4
judgment_default,1991,4
judgment_default,1992,2
judgment_default,1993,3
judgment_default,1994,3
judgment_default,1995,2
judgment_default,1996,8
judgment_default,1997,4
judgment_default,1998,8
judgment_default,1999,16
judgment_default,2000,14
judgment_default,2001,14
judgment_default,2002,28
judgment_default,2003,39
judgment_default,2004,32
judgment_default,2005,27
judgment_default,2006,81
judgment_default,2007,35
judgment_default,2008,44
judgment_default,2009,54
judgment_default,2010,73
judgment_default,2011,51
judgment_default,2012,93
judgment_default,2013,55
judgment_default,2014,51
judgment_default,2015,57
judgment_default,2016,15
judgment_default,2017,19
judgment_default,2018,17
judgment_default,2019,11
judgment_default,2020,11
judgment_default,2021,5
judgment_default,2022,7
judgment_default,2023,8
judgment_default,2024,20
judgment_default,2025,2
1328b_hardship_discharge,2002,4
1328b_hardship_discharge,2003,1
1328b_hardship_discharge,2004,4
1328b_hardship_discharge,2005,12
1328b_hardship_discharge,2006,7
1328b_hardship_discharge,2007,14
1328b_hardship_discharge,2008,8
1328b_hardship_discharge,2009,5
1328b_hardship_discharge,2010,10
1328b_hardship_discharge,2011,7
1328b_hardship_discharge,2012,8
1328b_hardship_discharge,2013,11
1328b_hardship_discharge,2014,5
1328b_hardship_discharge,2015,5
1328b_hardship_discharge,2016,12
1328b_hardship_discharge,2017,11
1328b_hardship_discharge,2018,10
1328b_hardship_discharge,2019,9
1328b_hardship_discharge,2020,6
1328b_hardship_discharge,2021,12
1328b_hardship_discharge,2022,7
