category,district,chapter,year,days_to_outcome,disposition
no_info_dismiss,txsbk,13,2020,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,7,2009,60,Dismissed for Failure to File Information
no_info_dismiss,txsbk,7,2009,69,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,48,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,59,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,51,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,51,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2013,27,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2014,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2014,132,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2014,92,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2014,78,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2014,98,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2014,47,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2014,286,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2014,48,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2015,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2015,986,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2015,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2015,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,271,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,139,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,73,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,47,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,47,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,102,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,1415,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,84,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2016,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,122,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,101,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,81,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,55,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,48,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,82,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2019,47,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2017,46,Dismissed for Failure to File Information
