district,cases_from_multifilers,total_cases,pct_from_multifilers
nvbk,50,327,15.29
tnwbk,289,1980,14.60
moebk,191,1356,14.09
txsbk,4256,30411,13.99
mowbk,5459,40915,13.34
ksbk,5025,38765,12.96
ctbk,16,126,12.70
paebk,158,1674,9.44
caebk,69,781,8.83
flsbk,3645,43930,8.30
almbk,86,1039,8.28
vaebk,94,1339,7.02
arebk,36,513,7.02
alnbk,55,846,6.50
njbk,99,1646,6.01
flmbk,326,5698,5.72
cacbk,338,5936,5.69
scbk,44,774,5.68
ganbk,95,1708,5.56
arwbk,35,632,5.54
mdbk,49,902,5.43
ohsbk,33,613,5.38
ohnbk,216,4213,5.13
ilnbk,516,10161,5.08
nyebk,52,1087,4.78
miebk,63,1317,4.78
kyebk,56,1203,4.66
nysbk,6,135,4.44
ncebk,29,671,4.32
ncmbk,19,441,4.31
innbk,63,1486,4.24
wiwbk,4,101,3.96
wiebk,59,1520,3.88
insbk,68,2094,3.25
txnbk,35,1183,2.96
flnbk,12,443,2.71
mnbk,9,405,2.22
mabk,23,1441,1.60
kywbk,4,619,0.65
okwbk,0,106,0.00
gambk,0,107,0.00
