district,reopenings,total_cases,reopen_rate_pct
mowbk,1725,42263,4.08
flsbk,1513,43932,3.44
ksbk,700,41650,1.68
txsbk,376,30412,1.24
flmbk,123,5699,2.16
ohnbk,78,4214,1.85
cacbk,74,5938,1.25
mabk,71,1441,4.93
ilnbk,65,10161,0.64
njbk,36,1647,2.19
nvbk,36,327,11.01
wiebk,35,1520,2.3
insbk,33,2094,1.58
tnwbk,33,1980,1.67
moebk,30,4491,0.67
caebk,25,781,3.2
kyebk,24,1203,2.0
ganbk,17,1708,1.0
innbk,15,1486,1.01
kywbk,15,619,2.42
nyebk,15,1087,1.38
miebk,11,1317,0.84
mdbk,10,902,1.11
flnbk,10,443,2.26
