day_of_month,ch_7,ch_11,ch_13,total
1,2362,237,4228,6827
2,2671,195,3964,6830
3,2695,175,3803,6673
4,2643,255,3119,6017
5,2834,196,3240,6270
6,2801,210,3327,6338
7,2998,186,2849,6033
8,2960,141,2749,5850
9,3015,281,2789,6085
10,3109,234,2822,6165
11,3207,139,2685,6031
12,3444,174,2827,6445
13,3395,141,2785,6321
14,3879,188,3037,7104
15,3595,196,3057,6848
16,3300,181,2925,6406
17,3049,147,2889,6085
18,3177,162,2845,6184
19,3065,154,3011,6230
20,3198,134,2895,6227
21,3237,166,2997,6400
22,3335,135,2896,6366
23,3240,150,2885,6275
24,3011,114,2607,5732
25,3196,145,2728,6069
26,3046,113,2901,6060
27,3418,150,3084,6652
28,3971,148,3527,7646
29,3816,139,3432,7387
30,4724,187,4381,9292
31,3490,125,3516,7131
