court,date,filings,court_mean_daily,court_stdev,z_score
mowbk,2005-10-14,198,5.4,5.5,35.18
ksbk,2005-10-14,153,5.2,4.8,31.08
mowbk,2005-10-15,174,5.4,5.5,30.8
ksbk,2005-10-15,147,5.2,4.8,29.82
vaebk,2012-10-18,40,1.3,1.3,29.07
txnbk,2025-07-09,137,1.7,5.6,24.04
flsbk,2005-10-14,184,5.5,7.5,23.68
txsbk,2005-10-15,159,4.3,6.9,22.31
ksbk,2005-10-13,105,5.2,4.8,20.98
txsbk,2005-10-14,145,4.3,6.9,20.29
ohsbk,2025-08-05,19,1.2,0.9,19.71
mdbk,1996-12-27,18,1.2,0.9,19.04
mowbk,2005-10-12,103,5.4,5.5,17.83
kyebk,2009-09-09,17,1.3,0.9,17.6
txsbk,2004-11-01,126,4.3,6.9,17.55
ksbk,2005-10-12,86,5.2,4.8,16.99
alnbk,2025-09-18,11,1.2,0.6,15.23
txsbk,2005-01-03,109,4.3,6.9,15.1
almbk,2017-01-30,9,1.2,0.5,14.24
mdbk,2011-07-21,13,1.2,0.9,13.38
txsbk,2003-03-03,97,4.3,6.9,13.37
tnwbk,2005-10-15,14,1.4,1.0,13.27
txsbk,2005-10-16,93,4.3,6.9,12.79
mowbk,2005-10-13,73,5.4,5.5,12.34
ilnbk,1999-04-21,66,2.9,5.3,11.81
txsbk,2005-08-01,85,4.3,6.9,11.64
ksbk,2005-10-16,60,5.2,4.8,11.52
mabk,2005-10-12,40,2.1,3.3,11.46
txsbk,2003-06-02,83,4.3,6.9,11.35
innbk,2024-06-25,9,1.3,0.7,11.31
txsbk,2004-03-01,82,4.3,6.9,11.21
txsbk,2003-12-01,81,4.3,6.9,11.06
vaebk,2011-02-03,16,1.3,1.3,11.06
ncebk,2024-10-04,8,1.2,0.6,10.96
txsbk,2003-02-03,80,4.3,6.9,10.92
kyebk,2009-09-10,11,1.3,0.9,10.88
kyebk,2019-12-31,11,1.3,0.9,10.88
flsbk,2003-04-23,84,5.5,7.5,10.42
flmbk,2025-05-30,19,2.0,1.6,10.38
ilnbk,1998-09-16,58,2.9,5.3,10.31
gambk,2010-05-04,2,1.0,0.1,10.2
tnwbk,2003-08-13,11,1.4,1.0,10.12
flmbk,2025-08-29,18,2.0,1.6,9.77
flsbk,2010-06-21,79,5.5,7.5,9.75
mabk,2009-02-28,34,2.1,3.3,9.65
ilnbk,1999-04-28,53,2.9,5.3,9.38
nysbk,2016-06-30,17,1.3,1.7,9.27
nyebk,2005-10-13,24,2.5,2.3,9.21
flsbk,2005-10-13,74,5.5,7.5,9.09
alnbk,2020-10-29,7,1.2,0.6,9.0
ganbk,2024-05-07,11,1.5,1.1,8.95
miebk,2013-10-07,7,1.3,0.7,8.79
miebk,2024-08-02,7,1.3,0.7,8.79
